Kode,Uraian,Nilai_Jumlah,Nilai_Rupiah,Mutasi_Masuk,Mutasi_Keluar,Mutasi_Jumlah,Jumlah,Rupiah,Tahun,Rata2_Mutasi_Keluar,Prioritas,Flow_Category
63,Cap Elect 680uF 250V,19,0,0.0,0,0,19,1615000,2024,0.0,0,0
66,Cap Tantalum 10uF 25V,113,0,0.0,99,-99,14,62160,2024,49.5,1,1
68,Cap Tantalim Multilayer 0.1uF 50V,141,0,0.0,99,-99,42,139860,2024,49.5,1,1
74,Conector BNC Probe,50,0,10.0,50,-40,10,49950,2024,25.0,1,2
77,Conector Header Putih 2P,17,0,0.0,0,0,17,11220,2024,0.0,0,0
78,Conector RJ 45,1741,0,2140.0,1741,399,2140,5345720,2024,870.5,0,2
79,Conector RJ 11,4,0,100.0,0,100,104,34620,2024,0.0,0,1
80,Resistor 22Ohm 5W,0,0,25.0,0,25,25,41625,2024,0.0,0,1
81,Resistor 220K 0.25W,0,0,100.0,0,100,100,11100,2024,0.0,0,1
82,Resistor 220K 0.5W,0,0,200.0,0,200,200,44400,2024,0.0,0,1
83,Resistor 220Ohm 0.25W,99,0,75.0,99,-24,75,8325,2024,49.5,0,2
84,Cover Conector DB 9,132,0,0.0,0,0,132,8712000,2024,0.0,0,0
85,Cover Conector DB 25,58,0,0.0,0,0,58,92220,2024,0.0,0,0
87,Diac 30V,29,0,100.0,29,71,100,164000,2024,14.5,0,2
88,Diac HT 32,30,0,0.0,0,0,30,135000,2024,0.0,0,0
91,Diode IN 1508,20,0,0.0,0,0,20,23000,2024,0.0,0,0
92,Diode IN 34A,49,0,200.0,49,151,200,328000,2024,24.5,0,2
97,Diode 20A,36,0,0.0,29,-29,7,108780,2024,14.5,1,1
98,Diode 2A,208,0,0.0,200,-200,8,13200,2024,100.0,1,1
100,Diode Bridge 10A,0,0,100.0,0,100,100,305300,2024,0.0,0,1
101,Diode Bridge 30A,12,0,0.0,9,-9,3,5328,2024,4.5,1,1
103,Diode IN 4002,628,0,300.0,399,-99,529,109534,2024,199.5,0,2
104,Diode IN 4004,24,0,0.0,0,0,24,5280,2024,0.0,0,0
105,Diode IN 4007,643,0,150.0,643,-493,150,33300,2024,321.5,1,2
106,Diode IN 4148,790,0,350.0,529,-179,611,106671,2024,264.5,0,2
107,Diode IN 60,199,0,200.0,199,1,200,166600,2024,99.5,0,2
108,Diode Silicon 3A  1N5402,49,0,0.0,9,-9,40,37057,2024,7.0,0,1
109,Diode Zener 24V,288,0,100.0,0,100,388,88884,2024,0.0,0,1
110,Diode Zener 5.1V,149,0,200.0,149,51,200,61000,2024,74.5,0,2
115,Elektrode Gelly (signa gel),0,0,4.0,0,4,4,524840,2024,0.0,0,1
116,Fitting Lamp Keramik,5,0,0.0,0,0,5,36740,2024,0.0,0,0
117,Fuse Besar 1A,217,0,50.0,0,50,267,171720,2024,0.0,0,1
118,Fuse Besar 2A,300,0,50.0,0,50,350,450700,2024,0.0,0,1
120,Fuse Besar 3A,447,0,50.0,5,45,492,320220,2024,2.5,0,2
122,Fuse Kecil 3A,228,0,0.0,181,-181,47,26085,2024,93.0,1,1
124,"Heat Sink Sirip Kecil kecil ukuran 1,5 cm x 2 cm",255,0,110.0,159,-49,206,346690,2024,79.5,0,2
125,IC 27128,10,0,0.0,0,0,10,300000,2024,0.0,0,0
126,IC 27256,11,0,0.0,0,0,11,302500,2024,0.0,0,0
127,IC 27C512,16,0,0.0,0,0,16,627200,2024,0.0,0,0
128,IC 62256,19,0,20.0,19,1,20,1098900,2024,23.0,1,2
129,IC 74C922,10,0,0.0,0,0,10,747500,2024,0.0,0,0
131,IC 74HC04,34,0,20.0,0,20,54,337280,2024,0.0,0,1
132,IC74HC138,50,0,20.0,0,20,70,429900,2024,0.0,0,1
133,IC 74HC14,83,0,0.0,30,-30,53,223960,2024,15.0,0,1
134,IC 74HC20,75,0,0.0,0,0,75,1260000,2024,0.0,0,0
135,IC 74HC36,57,0,20.0,0,20,77,502230,2024,0.0,0,1
136,IC 74HC541   74HCT541,48,0,0.0,0,0,48,153888,2024,0.0,0,0
139,IC 74HCT00,20,0,50.0,0,50,70,258230,2024,0.0,0,1
140,IC 74HCT04,0,0,30.0,0,30,30,159840,2024,0.0,0,1
142,IC 74HCT14,30,0,50.0,0,50,80,531300,2024,0.0,0,1
143,IC 74HCT193,10,0,0.0,0,0,10,34380,2024,0.0,0,0
144,IC 74HCT240,40,0,20.0,0,20,60,227440,2024,0.0,0,1
145,IC 74HCT245,31,0,20.0,0,20,51,602550,2024,0.0,0,1
146,IC 74HCT273,10,0,0.0,0,0,10,28000,2024,0.0,0,0
147,IC 74HCT32,10,0,0.0,0,0,10,133500,2024,0.0,0,0
148,IC 74HCT36,10,0,0.0,0,0,10,60000,2024,0.0,0,0
150,IC 74HCT74,10,0,20.0,0,20,30,193180,2024,0.0,0,1
151,IC 7805,49,0,150.0,49,101,150,266400,2024,28.5,0,2
152,IC 8255,14,0,10.0,14,-4,10,490000,2024,17.0,1,2
155,IC ADC 0804,99,0,20.0,99,-79,20,888000,2024,49.5,1,2
157,IC AT 28C64,34,0,30.0,34,-4,30,1350000,2024,29.5,0,2
161,IC DAC 0808,132,0,20.0,132,-112,20,719280,2024,66.0,1,2
162,IC Inverter 7405,10,0,0.0,0,0,10,165000,2024,0.0,0,0
163,IC LA 1260,52,0,0.0,0,0,52,164476,2024,0.0,0,0
164,IC LA 3361,60,0,0.0,0,0,60,303600,2024,0.0,0,0
165,IC LF 351,8,0,150.0,0,150,158,1076400,2024,0.0,0,1
166,IC LM 1237,20,0,0.0,0,0,20,93000,2024,0.0,0,0
167,IC LM 2469,20,0,0.0,0,0,20,93000,2024,0.0,0,0
168,IC LM 2480,20,0,0.0,0,0,20,93000,2024,0.0,0,0
169,IC LM 301,50,0,0.0,0,0,50,237350,2024,50.0,0,0
170,IC LM 324,49,0,400.0,49,351,400,599600,2024,24.5,0,2
172,IC LM 35,99,0,430.0,99,331,430,3341100,2024,49.5,0,2
173,IC LM 390,10,0,0.0,0,0,10,27500,2024,0.0,0,0
174,IC LM 723,96,0,0.0,0,0,96,198048,2024,0.0,0,0
175,IC LM 7809,446,0,50.0,49,1,447,1021525,2024,24.5,0,2
176,IC MAX 232,15,0,0.0,0,0,15,693000,2024,0.0,0,0
178,IC MAX 232A,7,0,0.0,0,0,7,8099,2024,0.0,0,0
182,IC MC 34064,10,0,0.0,0,0,10,55000,2024,0.0,0,0
183,IC SN 75176,20,0,0.0,0,0,20,65000,2024,0.0,0,0
184,IC TDA 8172,20,0,0.0,0,0,20,200000,2024,0.0,0,0
186,IC TL 074,20,0,0.0,0,0,20,26400,2024,0.0,0,0
187,IC TTL 7406,92,0,0.0,0,0,92,138000,2024,0.0,0,0
188,IC TTL 7408,49,0,80.0,0,80,129,3896353,2024,0.0,0,1
191,IC TTL 74240,56,0,0.0,0,0,56,138488,2024,0.0,0,0
192,IC TTL 74245,143,0,0.0,0,0,143,600600,2024,0.0,0,0
193,IC TTL 74290,140,0,0.0,0,0,140,3500000,2024,0.0,0,0
194,IC TTL 74293,140,0,0.0,0,0,140,770000,2024,0.0,0,0
195,IC TTL 74393,46,0,0.0,0,0,46,75900,2024,0.0,0,0
196,IC TTL 7447,20,0,0.0,0,0,20,215600,2024,0.0,0,0
197,IC TTL 7448,150,0,0.0,0,0,150,10680000,2024,0.0,0,0
198,IC TTL 7476,15,0,0.0,0,0,15,1068000,2024,0.0,0,0
199,IC TTL 7490,53,0,0.0,0,0,53,408100,2024,0.0,0,0
